Question,Office,Get to know,Couples,Funny,Dirty,Spicy,Premium
Who has the best work-life balance?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Who is most likely to help a coworker in need, even outside of work?",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to inspire people around them with their positive attitude?,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the best at staying calm under pressure and in distress?,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most unusual hidden talent?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to survive a zombie apocalypse?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who has traveled to the most countries?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most adventurous palate and is willing to try any food?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most contagious laugh?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most impressive collection of something?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who would make the best reality TV show contestant?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who has the most interesting or unique hobby?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most unique taste in music?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would be the most likely to write a best-selling book?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who has the most memorable or craziest party story?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is the most likely to become a famous influencer or YouTuber?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who has the most inspiring or heartwarming life story?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most creative or innovative ideas?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would be the best at solving a complex puzzle or mystery?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who has the strongest or most unique sense of fashion?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to break a world record?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most interesting or unexpected celebrity encounter story?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would make the best motivational speaker?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most impressive or unusual party trick?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would be the most successful entrepreneur?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most interesting or unique family tradition?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most valuable or meaningful piece of advice they've ever received?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most heartwarming or memorable act of kindness they've ever experienced or witnessed?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most interesting or unusual dream or goal they'd like to achieve?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would make the best detective or investigator?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who has the most memorable or hilarious childhood memory?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most impressive or unexpected skill or ability?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most creative DIY project they've completed?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most interesting family tradition?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most unusual phobia?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would be the most likely to start their own business?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most unexpected guilty pleasure?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who has the most intriguing dream they can remember?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most inspiring personal transformation story?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most unique pet or has had the most unique pet in the past?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who would be the best at organizing a surprise party?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most captivating story about a random act of kindness they've experienced?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most interesting job or career path?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most memorable first date story?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most impressive athletic achievement?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most surprising celebrity crush?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who would be the best at giving a TED Talk on a random topic?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most unexpected hidden knowledge or expertise in a specific subject?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most interesting or unusual item they can't live without?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who would be the best at surviving on a deserted island and why?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who has faced the biggest personal challenge and came out stronger?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most unique and interesting family traditions?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would be the most likely to volunteer for a one-way trip to Mars?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Who would you trust the most with a deep, personal secret?",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has had the most significant personal growth in the past year?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most unusual hobby or interest?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most adventurous spirit?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has overcome the greatest fear?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the strongest intuition or gut instincts?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would you choose as a mentor or life coach?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most infectious laugh or sense of humor?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most impressive hidden skill or talent?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most profound appreciation for art or music?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the strongest moral compass?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most interesting or unusual job or career path?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most compelling reason for choosing their current profession?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most diverse range of interests or hobbies?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most vivid or memorable dreams?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the strongest sense of empathy or compassion?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most interesting or unusual travel experience?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most impressive memory or recall ability?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most unique or unexpected friendship?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most profound or meaningful spiritual beliefs?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most intriguing or mysterious past?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most powerful or moving personal philosophy?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most surprising or unexpected connection to a famous person or event?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to survive in the wild without any modern conveniences?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is thebiggest risk-taker?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is themost likely to become a famous celebrity?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is thebest dancer?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is themost likely to win a Nobel Prize?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is themost likely to become a millionaire?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is themost organized person?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is thebest cook/chef?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to travel the world extensively?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would be the one with the most debt?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to binge-watch an entire TV series in one day?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is thebest secret keeper?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is themost likely to win a game show?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would have the shortest survival time on a desert island?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is the best problem solver?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to win a game of poker?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to skydive?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a famous author?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the best karaoke singer?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get hungry in the middle of the night?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to remain asleep while the alarm is blaring?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to replace salt with sugar while cooking?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to sleep while brushing their teeth?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to snore while sleeping?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to be the most scared while watching a horror movie?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to join a street gang?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to spread gossip?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to cheat on a test and get caught?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to be on the news for scam?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to forget where they parked their car?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to get Hangry (Hungry + angry)?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to call the restaurant manager to complain during a meal?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to forget their car keys inside their car?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to click on a spam ad pop-up on the internet?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get drunk after one drink?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to tell a joke that gets them into trouble?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to stay up all night scrolling on their phone?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to disappear for a year?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to take the day off after partying the previous night?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to show up at work drunk?,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to have a side hustle?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to forget to text back?,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Who is most likely to embarrass you in front of your parents?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to make you laugh when you are sad?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to pick up your calls in the middle of the night?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to send memes and GIFs to you everyday?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to bake you a birthday cake?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to cancel on their friends without a proper reason?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to do TikTok dance videos with you?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to keep a friend's secret?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to tell the most lame jokes?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to be the best liar?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to give you a nickname?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to be asked for ID at age 35?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to forget your birthday?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to text back immediately?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to be a cool parent?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to spend all their money on clothes?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to save you from a bad date?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to tell you to leave a bad relationship behind?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to have the best snacks?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to have the best dance moves at a party?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to be an awesome DJ?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get caught texting their ex?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to sing in the shower?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to travel with you to Europe?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to move in with you?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to cook your favorite meals for you?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get you the best birthday gift?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to treat your house like it's their house?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get along better with your parents?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to watch a horror movie by themselves at night?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to adopt multiple pets?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to win an Olympic gold medal?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a social media influencer?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to win a marathon?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to win a hot dog eating contest?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is the most likely to become a world-class athlete in any sport?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a famous stand-up comedian?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a famous scientist?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a famous political leader?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to win a game of chess against a grandmaster?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a professional photographer?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a famous motivational speaker?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to invent a groundbreaking technology?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to be a professional athlete in an unconventional sport?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would struggle the most when it comes to assembling a bookcase from IKEA?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most seductive voice?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the best at giving a sensual massage?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most attractive smile?,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most irresistible eyes?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to have a secret admirer?,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most alluring dance moves?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the most likely to try role-playing in the bedroom?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most captivating scent?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to write or receive a steamy love letter?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most enticing style of flirting?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the most likely to star in a romantic movie?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most intriguing dating history?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to have a passionate secret romance?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most magnetic personality?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to have a sexy hidden talent?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the most likely to try a daring new experience with a partner?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most tempting guilty pleasure?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
